Implementation,PKCS #11 device,Intel AES-NI,VIA PadLock,ARMv8-A,Intel SGX,Intel QAT,Intel SHA
Botan,Yes[208],Yes,No,Yes,No,No,
cryptlib,Yes,Yes,Yes,No,,No,
Crypto++,,Yes,,,,No,Yes
GnuTLS,Yes,Yes,Yes,Yes[209],No,No,
JSSE,Yes,Yes[210],No,No,,No,
LibreSSL,No,Yes,Yes,No,,No,
MatrixSSL,Yes,Yes,No,Yes,,No,
Mbed TLS,Yes,Yes[211],Yes,No,,No,
NSS,Yes[212],Yes[213],No[214],No,,No,
OpenSSL,Yes[215],Yes,Yes,Yes[216],,No,Yes
RSA BSAFE Micro Edition Suite,Yes,Yes,No,Yes,No,No,Yes
RSA BSAFE SSL-J [a][b],Yes,Yes,No,Yes,No,No,Yes
SChannel,No,Yes,No,No,,No,
Secure Transport,No,Yes[219][220],No,Yes,,No,
wolfSSL,Yes,Yes,No,Yes,Yes,Yes[221],
Implementation,PKCS #11 device,Intel AES-NI,VIA PadLock,ARMv8-A,Intel SGX,Intel QAT,Intel SHA
