Product,Vendor,Edition,Last release,Jakarta EE compatibility [1],Servlet,JSP,HTTP/2,License
ColdFusion,Adobe Systems,2016.0.1,2016-05-01,7 partial platform,3.1,2.3,No,"Proprietary, commercial"
Enhydra,Lutris,5.1.9,2005-03-23,No,,,No,"Free, GPL"
Enterprise Server,Borland,6.7,2007-01,1.4,2.4,2.0,No,"Proprietary, commercial"
Geronimo,ASF,3.0.1,2013-05-28,6 full platform,3.0,2.2,No,"Free, Apache"
GlassFish,Eclipse Foundation,5.1.0,2019-01-28,8 full platform,4.0,2.3,No,"Free, EPL, GPL + classpath exception"
iPlanet Web Server,Oracle Corporation,7.0.27,2018-01,Yes[2],2.5,2.1,No,"Proprietary, commercial"
JBoss Enterprise Application Platform,Red Hat,7.2,2019-01-22,8 full platform,4.0,2.3,Yes,"Free, LGPL"
Jetty,Eclipse Foundation,9.4.20,2019-08-14,7 partial platform[3],3.1,2.3,Yes,"Free, Apache 2.0, EPL"
JEUS,TmaxSoft,8,2013-08,7 full platform,3.0,2.2,No,"Proprietary, commercial"
JOnAS,"OW2 Consortium
(formerly ObjectWeb)",5.3,2013-10-04,6 Web Profile,3.0,2.2,No,"Free, LGPL"
JRun,Adobe Systems,4 updater 7,2007-11-06,1.3,3.1,2.3,No,"Proprietary, commercial"
Lucee (Formerly Railo),Lucee Association Switzerland,5.3.2.77,2019-05-27,7 partial platform,3.1,2.3,No,"Free, CDDL, GPL + classpath exception"
NetWeaver Application Server,SAP AG,7.4,2013-01-11,5,2.5,2.1,No,"Proprietary, commercial"
Oracle Containers for J2EE,Oracle Corporation,10.1.3.5.0,2009-08,1.4,2.4,2.0,No,"Proprietary, commercial"
Orion Application Server,IronFlare,2.0.7,2006-03-09,1.3,2.3,1.2,No,"Proprietary, commercial"
Payara,Payara,5.193,2019-08-29,8 full platform,4.0,2.3,Yes,"Free, CDDL, GPL + classpath exception"
Resin Servlet Container (open source),Caucho Technology,4.0.62,2019-05-23,6 Web Profile[4],3.0,2.2,No,"Free, GPL"
Resin Professional Application Server,Caucho Technology,4.0.62,2019-05-23,6 Web Profile,3.0,2.2,No,"Proprietary, commercial"
Tomcat,ASF,9.0.24,2019-08-17,8 partial platform,4.0,2.3,Yes,"Free, Apache v2"
TomEE,ASF,7.1.1,2019-06-21,6 Web Profile,3.0,2.2,No,"Free, Apache"
WebLogic Server,"Oracle Corporation
(formerly BEA Systems)",14.1.1.0.0,2020-03-30 [5],8 full platform,4.0,2.3,Yes,"Proprietary, commercial"
WebObjects,Apple Inc.,5.4.3,2008-09-15,Partial[6],,,No,"Proprietary, commercial"
IBM WebSphere Application Server,IBM,9.0,2016-06-24,8 full platform,3.1,2.3,No,"Proprietary, commercial"
WebSphere AS Community Edition,IBM,3.0.0.4,2013-06-21,6 full platform,3.0,2.2,No,"Proprietary, commercial"
"WildFly
(formerly JBoss AS)","Red Hat
(formerly JBoss)",20.0.0.Final[7],2020-06-08,8 full platform,4.0,2.3,Yes,"Free, LGPL"
